mu,Glc,Acetate,Dataset
0.050516292715522,0,0,Meyer et al. 1984
0.181385272345713,0,0,Meyer et al. 1984
0.215823928000919,0,0,Meyer et al. 1984
0.251795278714541,0,0,Meyer et al. 1984
0.332152141910022,0,0,Meyer et al. 1984
0.376619091867737,0,0,Meyer et al. 1984
0.415582747783961,0,0.154684150379445,Meyer et al. 1984
0.499079130080707,0,5.65961088594676,Meyer et al. 1984
0.496590066716086,0,9.39449333896598,Meyer et al. 1984
0.049650971377558,0,0,Vemuri et al. 2006
0.100528240482833,0,0,Vemuri et al. 2006
0.190496502851464,0,0,Vemuri et al. 2006
0.296234799591593,0,0,Vemuri et al. 2006
0.409822316526633,0,0.166260813970084,Vemuri et al. 2006
0.492477584265577,0,2.69855190710403,Vemuri et al. 2006
0.597033324805796,0,9.0560862101342,Vemuri et al. 2006
0.044,0,0,Kayser et al. 2005
0.066,0,0,Kayser et al. 2005
0.134,0,0,Kayser et al. 2005
0.15,0,0,Kayser et al. 2005
0.17,0,0,Kayser et al. 2005
0.203,0,0,Kayser et al. 2005
0.265,0,0,Kayser et al. 2005
0.28,0,0,Kayser et al. 2005
0.3,0,0,Kayser et al. 2005
0.347,0,0,Kayser et al. 2005
0.375,0,0.799307267035236,Kayser et al. 2005
0.388,0,0.849263971224938,Kayser et al. 2005
0.397,0,1.03243855325385,Kayser et al. 2005
0.41,0,18.9835475920869,Kayser et al. 2005
0.415,0,24.9783520948511,Kayser et al. 2005
