Reaction ID,Reaction Name,Subsystem,Reaction Formula,Lower Bound,Upper Bound,Gene,Protein
R_EX_ala__L_e,L-Alanine exchange,None,1 M_ala__L_e > ,-3.9959591424,1000,,
R_EX_arg__L_e,L-Arginine exchange,None,1 M_arg__L_e > ,-8.0113906028,1000,,
R_EX_asn__L_e,L-Asparagine exchange,None,1 M_asn__L_e > ,-0.9992429977,1000,,
R_EX_asp__L_e,L-Aspartate exchange,None,1 M_asp__L_e > ,-1.9976635514,1000,,
R_EX_cys__L_e,L-Cysteine exchange,None,1 M_cys__L_e > ,-0.1025056948,1000,,
R_EX_gln__L_e,L-Glutamine exchange,None,1 M_gln__L_e > ,-2.462380301,1000,,
R_EX_glu__L_e,L-Glutamate exchange,None,1 M_glu__L_e > ,-3.0005396654,1000,,
R_EX_gly_e,Glycine exchange,None,1 M_gly_e > ,-3.9962701479,1000,,
R_EX_his__L_e,L-Histidine exchange,None,1 M_his__L_e > ,-1.0019083969,1000,,
R_EX_ile__L_e,L-Isoleucine exchange,None,1 M_ile__L_e > ,-0.9908536585,1000,,
R_EX_leu__L_e,L-Leucine exchange,None,1 M_leu__L_e > ,-1.006097561,1000,,
R_EX_lys__L_e,L-Lysine exchange,None,1 M_lys__L_e > ,-2.0032840722,1000,,
R_EX_met__L_e,L-Methionine exchange,None,1 M_met__L_e > ,-1.0053619303,1000,,
R_EX_phe__L_e,L-Phenylalanine exchange,None,1 M_phe__L_e > ,-1.004842615,1000,,
R_EX_pro__L_e,L-Proline exchange,None,1 M_pro__L_e > ,-1.9982623805,1000,,
R_EX_ser__L_e,L-Serine exchange,None,1 M_ser__L_e > ,-7.9923882017,1000,,
R_EX_thr__L_e,L-Threonine exchange,None,1 M_thr__L_e > ,-1.9983207389,1000,,
R_EX_trp__L_e,L-Tryptophan exchange,None,1 M_trp__L_e > ,-0.2546523017,1000,,
R_EX_tyr__L_e,L-Tyrosine exchange,None,1 M_tyr__L_e > ,-0.0496688742,1000,,
R_EX_val__L_e,L-Valine exchange,None,1 M_val__L_e > ,-1.5017064846,1000,,
R_EX_glc__D_e,D-Glucose exchange,None,1 M_glc__D_e <=> ,-19.84,1000,,
R_EX_co2_e,CO2 exchange,None,1 M_co2_e <=> ,-1000,1000,,
R_EX_h_e,H+ exchange,None,1 M_h_e <=> ,-1000,1000,,
R_EX_h2o_e,H2O exchange,None,1 M_h2o_e <=> ,-1000,1000,,
R_EX_o2_e,O2 exchange,None,1 M_o2_e <=> ,-1000,1000,,
R_EX_na1_e,Sodium exchange,None,1 M_na1_e <=> ,-50,1000,,
R_EX_so4_e,Sulfate exchange,None,1 M_so4_e <=> ,-0.286,1000,,
R_EX_pi_e,Phosphate exchange,None,1 M_pi_e <=> ,-1.32,1000,,
R_EX_nh4_e,Ammonia exchange,None,1 M_nh4_e <=> ,-9.52,1000,,
R_EX_k_e,K+ exchange,None,1 M_k_e <=> ,-3.192,1000,,
R_EX_cl_e,Chloride exchange,None,1 M_cl_e <=> ,-60.567,1000,,
